"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri Feb 18 08:19:18 GMT 2022","Fri Feb 18 08:19:18 GMT 2022","1","test  suite3","","","","","Delete booking - non-existent",""
"skipped","Fri Feb 18 08:19:17 GMT 2022","Fri Feb 18 08:19:17 GMT 2022","0","test  suite6","","","","","Update booking - non-existent",""
"skipped","Fri Feb 18 08:19:15 GMT 2022","Fri Feb 18 08:19:15 GMT 2022","1","test  suite5","","","","","Get booking ID by existent firstname",""
"skipped","Fri Feb 18 08:19:15 GMT 2022","Fri Feb 18 08:19:15 GMT 2022","0","test  suite5","","","","","Get booking ID by existent lastname",""
"skipped","Fri Feb 18 08:19:17 GMT 2022","Fri Feb 18 08:19:17 GMT 2022","4","test  suite6","","","","","Update booking - valid",""
"failed","Fri Feb 18 08:19:16 GMT 2022","Fri Feb 18 08:19:17 GMT 2022","212","test  suite4","","","","","(ProdTest)Get specific valid ID",""
"passed","Fri Feb 18 08:19:17 GMT 2022","Fri Feb 18 08:19:17 GMT 2022","205","test  suite4","","","","","(ProdTest) Get specific valid ID without Accept header",""
"passed","Fri Feb 18 08:19:16 GMT 2022","Fri Feb 18 08:19:16 GMT 2022","200","test  suite2","","","","","(ProdTest):Create token - invalid username",""
"skipped","Fri Feb 18 08:19:15 GMT 2022","Fri Feb 18 08:19:15 GMT 2022","1","test  suite5","","","","","Get booking ID by existent firstname and lastname",""
"passed","Fri Feb 18 08:19:17 GMT 2022","Fri Feb 18 08:19:17 GMT 2022","185","test  suite4","","","","","(ProdTest) Get specific invalid ID",""
"passed","Fri Feb 18 08:19:17 GMT 2022","Fri Feb 18 08:19:18 GMT 2022","197","test  suite1","","","","","ProdTest)Create valid booking",""
"skipped","Fri Feb 18 08:19:15 GMT 2022","Fri Feb 18 08:19:15 GMT 2022","0","test  suite5","","","","","Partial update booking - additional needs",""
"skipped","Fri Feb 18 08:19:15 GMT 2022","Fri Feb 18 08:19:15 GMT 2022","0","test  suite5","","","","","Get booking ID - empty checkin date header",""
"passed","Fri Feb 18 08:19:18 GMT 2022","Fri Feb 18 08:19:18 GMT 2022","225","test  suite1","","","","","ProdTest)Create invalid booking",""
"passed","Fri Feb 18 08:19:16 GMT 2022","Fri Feb 18 08:19:16 GMT 2022","288","test  suite2","","","","","(ProdTest):Create token - valid",""
"skipped","Fri Feb 18 08:19:15 GMT 2022","Fri Feb 18 08:19:15 GMT 2022","0","test  suite5","","","","","Partial update booking - non-existent booking",""
"skipped","Fri Feb 18 08:19:15 GMT 2022","Fri Feb 18 08:19:15 GMT 2022","0","test  suite5","","","","","Partial update booking - total price & deposit paid",""
"skipped","Fri Feb 18 08:19:15 GMT 2022","Fri Feb 18 08:19:15 GMT 2022","6","test  suite5","","","","","Partial update booking - firstname & lastname",""
"skipped","Fri Feb 18 08:19:16 GMT 2022","Fri Feb 18 08:19:16 GMT 2022","1","test  suite2","","","","","Create token - invalid password",""
"skipped","Fri Feb 18 08:19:15 GMT 2022","Fri Feb 18 08:19:15 GMT 2022","0","test  suite5","","","","","Partial update booking - checkin & checkout date",""
"skipped","Fri Feb 18 08:19:15 GMT 2022","Fri Feb 18 08:19:15 GMT 2022","5","test  suite5","","","","","Get all IDs",""
"skipped","Fri Feb 18 08:19:15 GMT 2022","Fri Feb 18 08:19:15 GMT 2022","0","test  suite5","","","","","Get booking ID - empty checkout date header",""
"skipped","Fri Feb 18 08:19:18 GMT 2022","Fri Feb 18 08:19:18 GMT 2022","4","test  suite3","","","","","Delete booking - valid",""
