"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Feb 18 08:09:05 GMT 2022","Fri Feb 18 08:09:05 GMT 2022","52","test  suite4","","","","","(ProdTest) Get specific valid ID without Accept header",""
"skipped","Fri Feb 18 08:09:04 GMT 2022","Fri Feb 18 08:09:04 GMT 2022","1","test  suite5","","","","","Partial update booking - checkin & checkout date",""
"skipped","Fri Feb 18 08:09:05 GMT 2022","Fri Feb 18 08:09:05 GMT 2022","7","test  suite5","","","","","Get all IDs",""
"skipped","Fri Feb 18 08:09:05 GMT 2022","Fri Feb 18 08:09:05 GMT 2022","0","test  suite5","","","","","Get booking ID - empty checkin date header",""
"skipped","Fri Feb 18 08:09:05 GMT 2022","Fri Feb 18 08:09:05 GMT 2022","1","test  suite5","","","","","Get booking ID - empty checkout date header",""
"passed","Fri Feb 18 08:09:05 GMT 2022","Fri Feb 18 08:09:05 GMT 2022","107","test  suite2","","","","","(ProdTest):Create token - valid",""
"skipped","Fri Feb 18 08:09:05 GMT 2022","Fri Feb 18 08:09:05 GMT 2022","0","test  suite5","","","","","Get booking ID by existent lastname",""
"passed","Fri Feb 18 08:09:05 GMT 2022","Fri Feb 18 08:09:06 GMT 2022","84","test  suite4","","","","","(ProdTest) Get specific invalid ID",""
"skipped","Fri Feb 18 08:09:04 GMT 2022","Fri Feb 18 08:09:04 GMT 2022","9","test  suite5","","","","","Partial update booking - firstname & lastname",""
"skipped","Fri Feb 18 08:09:05 GMT 2022","Fri Feb 18 08:09:05 GMT 2022","1","test  suite5","","","","","Get booking ID by existent firstname",""
"skipped","Fri Feb 18 08:09:05 GMT 2022","Fri Feb 18 08:09:05 GMT 2022","1","test  suite5","","","","","Get booking ID by existent firstname and lastname",""
"skipped","Fri Feb 18 08:09:04 GMT 2022","Fri Feb 18 08:09:04 GMT 2022","1","test  suite5","","","","","Partial update booking - total price & deposit paid",""
"skipped","Fri Feb 18 08:09:06 GMT 2022","Fri Feb 18 08:09:06 GMT 2022","6","test  suite6","","","","","Update booking - valid",""
"skipped","Fri Feb 18 08:09:06 GMT 2022","Fri Feb 18 08:09:06 GMT 2022","5","test  suite3","","","","","Delete booking - valid",""
"failed","Fri Feb 18 08:09:05 GMT 2022","Fri Feb 18 08:09:05 GMT 2022","57","test  suite4","","","","","(ProdTest)Get specific valid ID",""
"passed","Fri Feb 18 08:09:06 GMT 2022","Fri Feb 18 08:09:06 GMT 2022","44","test  suite1","","","","","ProdTest)Create invalid booking",""
"skipped","Fri Feb 18 08:09:04 GMT 2022","Fri Feb 18 08:09:04 GMT 2022","1","test  suite5","","","","","Partial update booking - non-existent booking",""
"skipped","Fri Feb 18 08:09:05 GMT 2022","Fri Feb 18 08:09:05 GMT 2022","1","test  suite2","","","","","Create token - invalid password",""
"skipped","Fri Feb 18 08:09:06 GMT 2022","Fri Feb 18 08:09:06 GMT 2022","1","test  suite6","","","","","Update booking - non-existent",""
"skipped","Fri Feb 18 08:09:06 GMT 2022","Fri Feb 18 08:09:06 GMT 2022","0","test  suite3","","","","","Delete booking - non-existent",""
"passed","Fri Feb 18 08:09:06 GMT 2022","Fri Feb 18 08:09:06 GMT 2022","66","test  suite1","","","","","ProdTest)Create valid booking",""
"passed","Fri Feb 18 08:09:05 GMT 2022","Fri Feb 18 08:09:05 GMT 2022","40","test  suite2","","","","","(ProdTest):Create token - invalid username",""
"skipped","Fri Feb 18 08:09:04 GMT 2022","Fri Feb 18 08:09:04 GMT 2022","0","test  suite5","","","","","Partial update booking - additional needs",""
