"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Feb 20 14:43:45 GMT 2022","Sun Feb 20 14:43:45 GMT 2022","55","test  suite4","","","","","(ProdTest)Get specific valid ID",""
"skipped","Sun Feb 20 14:43:44 GMT 2022","Sun Feb 20 14:43:44 GMT 2022","0","test  suite5","","","","","Get booking ID - empty checkin date header",""
"skipped","Sun Feb 20 14:43:45 GMT 2022","Sun Feb 20 14:43:45 GMT 2022","1","test  suite6","","","","","Update booking - non-existent",""
"passed","Sun Feb 20 14:43:45 GMT 2022","Sun Feb 20 14:43:45 GMT 2022","79","test  suite2","","","","","(ProdTest):Create token - valid",""
"skipped","Sun Feb 20 14:43:45 GMT 2022","Sun Feb 20 14:43:45 GMT 2022","4","test  suite6","","","","","Update booking - valid",""
"skipped","Sun Feb 20 14:43:44 GMT 2022","Sun Feb 20 14:43:44 GMT 2022","1","test  suite5","","","","","Get booking ID by existent lastname",""
"passed","Sun Feb 20 14:43:45 GMT 2022","Sun Feb 20 14:43:45 GMT 2022","42","test  suite4","","","","","(ProdTest) Get specific invalid ID",""
"skipped","Sun Feb 20 14:43:44 GMT 2022","Sun Feb 20 14:43:44 GMT 2022","0","test  suite5","","","","","Get booking ID by existent firstname and lastname",""
"skipped","Sun Feb 20 14:43:44 GMT 2022","Sun Feb 20 14:43:44 GMT 2022","1","test  suite5","","","","","Partial update booking - non-existent booking",""
"passed","Sun Feb 20 14:43:45 GMT 2022","Sun Feb 20 14:43:45 GMT 2022","46","test  suite4","","","","","(ProdTest) Get specific valid ID without Accept header",""
"passed","Sun Feb 20 14:43:45 GMT 2022","Sun Feb 20 14:43:45 GMT 2022","49","test  suite1","","","","","ProdTest)Create valid booking",""
"skipped","Sun Feb 20 14:43:45 GMT 2022","Sun Feb 20 14:43:45 GMT 2022","0","test  suite2","","","","","Create token - invalid password",""
"passed","Sun Feb 20 14:43:45 GMT 2022","Sun Feb 20 14:43:45 GMT 2022","40","test  suite2","","","","","(ProdTest):Create token - invalid username",""
"skipped","Sun Feb 20 14:43:46 GMT 2022","Sun Feb 20 14:43:46 GMT 2022","1","test  suite3","","","","","Delete booking - non-existent",""
"skipped","Sun Feb 20 14:43:46 GMT 2022","Sun Feb 20 14:43:46 GMT 2022","4","test  suite3","","","","","Delete booking - valid",""
"skipped","Sun Feb 20 14:43:44 GMT 2022","Sun Feb 20 14:43:44 GMT 2022","6","test  suite5","","","","","Partial update booking - firstname & lastname",""
"skipped","Sun Feb 20 14:43:44 GMT 2022","Sun Feb 20 14:43:44 GMT 2022","1","test  suite5","","","","","Partial update booking - checkin & checkout date",""
"skipped","Sun Feb 20 14:43:44 GMT 2022","Sun Feb 20 14:43:44 GMT 2022","4","test  suite5","","","","","Get all IDs",""
"skipped","Sun Feb 20 14:43:44 GMT 2022","Sun Feb 20 14:43:44 GMT 2022","0","test  suite5","","","","","Partial update booking - total price & deposit paid",""
"passed","Sun Feb 20 14:43:45 GMT 2022","Sun Feb 20 14:43:45 GMT 2022","46","test  suite1","","","","","ProdTest)Create invalid booking",""
"skipped","Sun Feb 20 14:43:44 GMT 2022","Sun Feb 20 14:43:44 GMT 2022","0","test  suite5","","","","","Get booking ID by existent firstname",""
"skipped","Sun Feb 20 14:43:44 GMT 2022","Sun Feb 20 14:43:44 GMT 2022","0","test  suite5","","","","","Partial update booking - additional needs",""
"skipped","Sun Feb 20 14:43:44 GMT 2022","Sun Feb 20 14:43:44 GMT 2022","1","test  suite5","","","","","Get booking ID - empty checkout date header",""
