"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sun Feb 20 14:48:52 GMT 2022","Sun Feb 20 14:48:52 GMT 2022","1","test  suite5","","","","","Get booking ID by existent firstname",""
"passed","Sun Feb 20 14:48:54 GMT 2022","Sun Feb 20 14:48:54 GMT 2022","169","test  suite1","","","","","ProdTest)Create invalid booking",""
"skipped","Sun Feb 20 14:48:54 GMT 2022","Sun Feb 20 14:48:54 GMT 2022","0","test  suite3","","","","","Delete booking - non-existent",""
"skipped","Sun Feb 20 14:48:52 GMT 2022","Sun Feb 20 14:48:52 GMT 2022","4","test  suite5","","","","","Get all IDs",""
"skipped","Sun Feb 20 14:48:52 GMT 2022","Sun Feb 20 14:48:52 GMT 2022","17","test  suite5","","","","","Partial update booking - firstname & lastname",""
"skipped","Sun Feb 20 14:48:52 GMT 2022","Sun Feb 20 14:48:52 GMT 2022","0","test  suite5","","","","","Partial update booking - non-existent booking",""
"skipped","Sun Feb 20 14:48:54 GMT 2022","Sun Feb 20 14:48:54 GMT 2022","4","test  suite3","","","","","Delete booking - valid",""
"passed","Sun Feb 20 14:48:53 GMT 2022","Sun Feb 20 14:48:53 GMT 2022","188","test  suite4","","","","","(ProdTest) Get specific valid ID without Accept header",""
"skipped","Sun Feb 20 14:48:52 GMT 2022","Sun Feb 20 14:48:52 GMT 2022","0","test  suite5","","","","","Get booking ID - empty checkin date header",""
"skipped","Sun Feb 20 14:48:53 GMT 2022","Sun Feb 20 14:48:53 GMT 2022","4","test  suite6","","","","","Update booking - valid",""
"skipped","Sun Feb 20 14:48:52 GMT 2022","Sun Feb 20 14:48:52 GMT 2022","0","test  suite5","","","","","Partial update booking - total price & deposit paid",""
"skipped","Sun Feb 20 14:48:53 GMT 2022","Sun Feb 20 14:48:53 GMT 2022","0","test  suite2","","","","","Create token - invalid password",""
"passed","Sun Feb 20 14:48:54 GMT 2022","Sun Feb 20 14:48:54 GMT 2022","187","test  suite1","","","","","ProdTest)Create valid booking",""
"passed","Sun Feb 20 14:48:53 GMT 2022","Sun Feb 20 14:48:53 GMT 2022","170","test  suite4","","","","","(ProdTest) Get specific invalid ID",""
"skipped","Sun Feb 20 14:48:52 GMT 2022","Sun Feb 20 14:48:52 GMT 2022","1","test  suite5","","","","","Partial update booking - checkin & checkout date",""
"passed","Sun Feb 20 14:48:52 GMT 2022","Sun Feb 20 14:48:53 GMT 2022","169","test  suite2","","","","","(ProdTest):Create token - invalid username",""
"skipped","Sun Feb 20 14:48:52 GMT 2022","Sun Feb 20 14:48:52 GMT 2022","0","test  suite5","","","","","Partial update booking - additional needs",""
"skipped","Sun Feb 20 14:48:52 GMT 2022","Sun Feb 20 14:48:52 GMT 2022","0","test  suite5","","","","","Get booking ID by existent lastname",""
"skipped","Sun Feb 20 14:48:52 GMT 2022","Sun Feb 20 14:48:52 GMT 2022","1","test  suite5","","","","","Get booking ID by existent firstname and lastname",""
"skipped","Sun Feb 20 14:48:53 GMT 2022","Sun Feb 20 14:48:53 GMT 2022","1","test  suite6","","","","","Update booking - non-existent",""
"failed","Sun Feb 20 14:48:53 GMT 2022","Sun Feb 20 14:48:53 GMT 2022","196","test  suite4","","","","","(ProdTest)Get specific valid ID",""
"passed","Sun Feb 20 14:48:52 GMT 2022","Sun Feb 20 14:48:52 GMT 2022","270","test  suite2","","","","","(ProdTest):Create token - valid",""
"skipped","Sun Feb 20 14:48:52 GMT 2022","Sun Feb 20 14:48:52 GMT 2022","0","test  suite5","","","","","Get booking ID - empty checkout date header",""
