"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri Feb 18 07:31:38 GMT 2022","Fri Feb 18 07:31:38 GMT 2022","4","test  suite5","","","","","Get all IDs",""
"passed","Fri Feb 18 07:31:39 GMT 2022","Fri Feb 18 07:31:39 GMT 2022","242","test  suite2","","","","","(ProdTest):Create token - invalid username",""
"skipped","Fri Feb 18 07:31:41 GMT 2022","Fri Feb 18 07:31:41 GMT 2022","0","test  suite3","","","","","Delete booking - non-existent",""
"passed","Fri Feb 18 07:31:39 GMT 2022","Fri Feb 18 07:31:39 GMT 2022","339","test  suite2","","","","","(ProdTest):Create token - valid",""
"skipped","Fri Feb 18 07:31:38 GMT 2022","Fri Feb 18 07:31:38 GMT 2022","0","test  suite5","","","","","Partial update booking - total price & deposit paid",""
"skipped","Fri Feb 18 07:31:38 GMT 2022","Fri Feb 18 07:31:38 GMT 2022","0","test  suite5","","","","","Get booking ID by existent firstname",""
"skipped","Fri Feb 18 07:31:41 GMT 2022","Fri Feb 18 07:31:41 GMT 2022","12","test  suite3","","","","","Delete booking - valid",""
"passed","Fri Feb 18 07:31:40 GMT 2022","Fri Feb 18 07:31:40 GMT 2022","266","test  suite4","","","","","(ProdTest) Get specific invalid ID",""
"skipped","Fri Feb 18 07:31:38 GMT 2022","Fri Feb 18 07:31:38 GMT 2022","1","test  suite5","","","","","Partial update booking - non-existent booking",""
"passed","Fri Feb 18 07:31:39 GMT 2022","Fri Feb 18 07:31:40 GMT 2022","280","test  suite4","","","","","(ProdTest)Get specific valid ID",""
"skipped","Fri Feb 18 07:31:38 GMT 2022","Fri Feb 18 07:31:38 GMT 2022","0","test  suite5","","","","","Get booking ID - empty checkout date header",""
"skipped","Fri Feb 18 07:31:38 GMT 2022","Fri Feb 18 07:31:38 GMT 2022","0","test  suite5","","","","","Get booking ID by existent firstname and lastname",""
"skipped","Fri Feb 18 07:31:38 GMT 2022","Fri Feb 18 07:31:38 GMT 2022","6","test  suite5","","","","","Partial update booking - firstname & lastname",""
"skipped","Fri Feb 18 07:31:38 GMT 2022","Fri Feb 18 07:31:38 GMT 2022","1","test  suite5","","","","","Get booking ID - empty checkin date header",""
"passed","Fri Feb 18 07:31:40 GMT 2022","Fri Feb 18 07:31:40 GMT 2022","247","test  suite4","","","","","(ProdTest) Get specific valid ID without Accept header",""
"passed","Fri Feb 18 07:31:41 GMT 2022","Fri Feb 18 07:31:41 GMT 2022","250","test  suite1","","","","","ProdTest)Create valid booking",""
"skipped","Fri Feb 18 07:31:38 GMT 2022","Fri Feb 18 07:31:38 GMT 2022","1","test  suite5","","","","","Partial update booking - checkin & checkout date",""
"skipped","Fri Feb 18 07:31:38 GMT 2022","Fri Feb 18 07:31:38 GMT 2022","1","test  suite5","","","","","Get booking ID by existent lastname",""
"skipped","Fri Feb 18 07:31:40 GMT 2022","Fri Feb 18 07:31:40 GMT 2022","4","test  suite6","","","","","Update booking - valid",""
"skipped","Fri Feb 18 07:31:38 GMT 2022","Fri Feb 18 07:31:38 GMT 2022","0","test  suite5","","","","","Partial update booking - additional needs",""
"skipped","Fri Feb 18 07:31:40 GMT 2022","Fri Feb 18 07:31:40 GMT 2022","1","test  suite6","","","","","Update booking - non-existent",""
"passed","Fri Feb 18 07:31:41 GMT 2022","Fri Feb 18 07:31:41 GMT 2022","265","test  suite1","","","","","ProdTest)Create invalid booking",""
"skipped","Fri Feb 18 07:31:39 GMT 2022","Fri Feb 18 07:31:39 GMT 2022","1","test  suite2","","","","","Create token - invalid password",""
