"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Feb 20 14:55:46 GMT 2022","Sun Feb 20 14:55:47 GMT 2022","263","test  suite1","","","","","ProdTest)Create valid booking",""
"skipped","Sun Feb 20 14:55:44 GMT 2022","Sun Feb 20 14:55:44 GMT 2022","0","test  suite5","","","","","Partial update booking - non-existent booking",""
"skipped","Sun Feb 20 14:55:46 GMT 2022","Sun Feb 20 14:55:46 GMT 2022","1","test  suite6","","","","","Update booking - non-existent",""
"skipped","Sun Feb 20 14:55:47 GMT 2022","Sun Feb 20 14:55:47 GMT 2022","4","test  suite3","","","","","Delete booking - valid",""
"passed","Sun Feb 20 14:55:45 GMT 2022","Sun Feb 20 14:55:45 GMT 2022","350","test  suite2","","","","","(ProdTest):Create token - valid",""
"passed","Sun Feb 20 14:55:46 GMT 2022","Sun Feb 20 14:55:46 GMT 2022","241","test  suite4","","","","","(ProdTest) Get specific invalid ID",""
"passed","Sun Feb 20 14:55:47 GMT 2022","Sun Feb 20 14:55:47 GMT 2022","219","test  suite1","","","","","ProdTest)Create invalid booking",""
"skipped","Sun Feb 20 14:55:44 GMT 2022","Sun Feb 20 14:55:44 GMT 2022","1","test  suite5","","","","","Get booking ID - empty checkout date header",""
"skipped","Sun Feb 20 14:55:44 GMT 2022","Sun Feb 20 14:55:44 GMT 2022","0","test  suite5","","","","","Get booking ID by existent lastname",""
"skipped","Sun Feb 20 14:55:44 GMT 2022","Sun Feb 20 14:55:44 GMT 2022","0","test  suite5","","","","","Get booking ID by existent firstname and lastname",""
"passed","Sun Feb 20 14:55:45 GMT 2022","Sun Feb 20 14:55:45 GMT 2022","246","test  suite2","","","","","(ProdTest):Create token - invalid username",""
"skipped","Sun Feb 20 14:55:46 GMT 2022","Sun Feb 20 14:55:46 GMT 2022","4","test  suite6","","","","","Update booking - valid",""
"skipped","Sun Feb 20 14:55:44 GMT 2022","Sun Feb 20 14:55:44 GMT 2022","0","test  suite5","","","","","Get booking ID by existent firstname",""
"failed","Sun Feb 20 14:55:45 GMT 2022","Sun Feb 20 14:55:46 GMT 2022","255","test  suite4","","","","","(ProdTest)Get specific valid ID",""
"failed","Sun Feb 20 14:55:46 GMT 2022","Sun Feb 20 14:55:46 GMT 2022","264","test  suite4","","","","","(ProdTest) Get specific valid ID without Accept header",""
"skipped","Sun Feb 20 14:55:44 GMT 2022","Sun Feb 20 14:55:44 GMT 2022","0","test  suite5","","","","","Get booking ID - empty checkin date header",""
"skipped","Sun Feb 20 14:55:44 GMT 2022","Sun Feb 20 14:55:44 GMT 2022","1","test  suite5","","","","","Partial update booking - checkin & checkout date",""
"skipped","Sun Feb 20 14:55:44 GMT 2022","Sun Feb 20 14:55:44 GMT 2022","4","test  suite5","","","","","Get all IDs",""
"skipped","Sun Feb 20 14:55:44 GMT 2022","Sun Feb 20 14:55:44 GMT 2022","0","test  suite5","","","","","Partial update booking - additional needs",""
"skipped","Sun Feb 20 14:55:45 GMT 2022","Sun Feb 20 14:55:45 GMT 2022","1","test  suite2","","","","","Create token - invalid password",""
"skipped","Sun Feb 20 14:55:44 GMT 2022","Sun Feb 20 14:55:44 GMT 2022","0","test  suite5","","","","","Partial update booking - total price & deposit paid",""
"skipped","Sun Feb 20 14:55:44 GMT 2022","Sun Feb 20 14:55:44 GMT 2022","7","test  suite5","","","","","Partial update booking - firstname & lastname",""
"skipped","Sun Feb 20 14:55:47 GMT 2022","Sun Feb 20 14:55:47 GMT 2022","1","test  suite3","","","","","Delete booking - non-existent",""
