"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri Feb 18 07:49:30 GMT 2022","Fri Feb 18 07:49:30 GMT 2022","4","test  suite5","","","","","Partial update booking - firstname & lastname",""
"passed","Fri Feb 18 07:49:31 GMT 2022","Fri Feb 18 07:49:32 GMT 2022","131","test  suite4","","","","","(ProdTest) Get specific valid ID without Accept header",""
"skipped","Fri Feb 18 07:49:31 GMT 2022","Fri Feb 18 07:49:31 GMT 2022","1","test  suite5","","","","","Get booking ID by existent firstname",""
"passed","Fri Feb 18 07:49:31 GMT 2022","Fri Feb 18 07:49:31 GMT 2022","209","test  suite2","","","","","(ProdTest):Create token - valid",""
"skipped","Fri Feb 18 07:49:31 GMT 2022","Fri Feb 18 07:49:31 GMT 2022","1","test  suite5","","","","","Get booking ID - empty checkin date header",""
"skipped","Fri Feb 18 07:49:30 GMT 2022","Fri Feb 18 07:49:30 GMT 2022","0","test  suite5","","","","","Partial update booking - checkin & checkout date",""
"skipped","Fri Feb 18 07:49:31 GMT 2022","Fri Feb 18 07:49:31 GMT 2022","3","test  suite5","","","","","Get all IDs",""
"skipped","Fri Feb 18 07:49:32 GMT 2022","Fri Feb 18 07:49:32 GMT 2022","3","test  suite3","","","","","Delete booking - valid",""
"skipped","Fri Feb 18 07:49:30 GMT 2022","Fri Feb 18 07:49:30 GMT 2022","0","test  suite5","","","","","Partial update booking - total price & deposit paid",""
"skipped","Fri Feb 18 07:49:31 GMT 2022","Fri Feb 18 07:49:31 GMT 2022","0","test  suite5","","","","","Get booking ID by existent lastname",""
"passed","Fri Feb 18 07:49:32 GMT 2022","Fri Feb 18 07:49:32 GMT 2022","135","test  suite1","","","","","ProdTest)Create valid booking",""
"passed","Fri Feb 18 07:49:32 GMT 2022","Fri Feb 18 07:49:32 GMT 2022","162","test  suite1","","","","","ProdTest)Create invalid booking",""
"skipped","Fri Feb 18 07:49:30 GMT 2022","Fri Feb 18 07:49:30 GMT 2022","0","test  suite5","","","","","Partial update booking - non-existent booking",""
"passed","Fri Feb 18 07:49:32 GMT 2022","Fri Feb 18 07:49:32 GMT 2022","122","test  suite4","","","","","(ProdTest) Get specific invalid ID",""
"skipped","Fri Feb 18 07:49:32 GMT 2022","Fri Feb 18 07:49:32 GMT 2022","4","test  suite6","","","","","Update booking - valid",""
"skipped","Fri Feb 18 07:49:32 GMT 2022","Fri Feb 18 07:49:32 GMT 2022","0","test  suite3","","","","","Delete booking - non-existent",""
"skipped","Fri Feb 18 07:49:30 GMT 2022","Fri Feb 18 07:49:30 GMT 2022","1","test  suite5","","","","","Partial update booking - additional needs",""
"passed","Fri Feb 18 07:49:31 GMT 2022","Fri Feb 18 07:49:31 GMT 2022","157","test  suite4","","","","","(ProdTest)Get specific valid ID",""
"passed","Fri Feb 18 07:49:31 GMT 2022","Fri Feb 18 07:49:31 GMT 2022","124","test  suite2","","","","","(ProdTest):Create token - invalid username",""
"skipped","Fri Feb 18 07:49:31 GMT 2022","Fri Feb 18 07:49:31 GMT 2022","1","test  suite2","","","","","Create token - invalid password",""
"skipped","Fri Feb 18 07:49:32 GMT 2022","Fri Feb 18 07:49:32 GMT 2022","0","test  suite6","","","","","Update booking - non-existent",""
"skipped","Fri Feb 18 07:49:31 GMT 2022","Fri Feb 18 07:49:31 GMT 2022","0","test  suite5","","","","","Get booking ID - empty checkout date header",""
"skipped","Fri Feb 18 07:49:31 GMT 2022","Fri Feb 18 07:49:31 GMT 2022","0","test  suite5","","","","","Get booking ID by existent firstname and lastname",""
