"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri Feb 18 08:12:24 GMT 2022","Fri Feb 18 08:12:24 GMT 2022","0","test  suite5","","","","","Get booking ID - empty checkout date header",""
"skipped","Fri Feb 18 08:12:24 GMT 2022","Fri Feb 18 08:12:24 GMT 2022","0","test  suite5","","","","","Get booking ID by existent firstname",""
"passed","Fri Feb 18 08:12:25 GMT 2022","Fri Feb 18 08:12:25 GMT 2022","42","test  suite1","","","","","ProdTest)Create invalid booking",""
"skipped","Fri Feb 18 08:12:24 GMT 2022","Fri Feb 18 08:12:24 GMT 2022","1","test  suite5","","","","","Get booking ID by existent lastname",""
"skipped","Fri Feb 18 08:12:25 GMT 2022","Fri Feb 18 08:12:25 GMT 2022","1","test  suite3","","","","","Delete booking - non-existent",""
"failed","Fri Feb 18 08:12:24 GMT 2022","Fri Feb 18 08:12:24 GMT 2022","78","test  suite4","","","","","(ProdTest)Get specific valid ID",""
"skipped","Fri Feb 18 08:12:24 GMT 2022","Fri Feb 18 08:12:24 GMT 2022","1","test  suite5","","","","","Get booking ID - empty checkin date header",""
"passed","Fri Feb 18 08:12:25 GMT 2022","Fri Feb 18 08:12:25 GMT 2022","53","test  suite1","","","","","ProdTest)Create valid booking",""
"skipped","Fri Feb 18 08:12:24 GMT 2022","Fri Feb 18 08:12:24 GMT 2022","0","test  suite5","","","","","Partial update booking - total price & deposit paid",""
"skipped","Fri Feb 18 08:12:25 GMT 2022","Fri Feb 18 08:12:25 GMT 2022","5","test  suite6","","","","","Update booking - valid",""
"skipped","Fri Feb 18 08:12:25 GMT 2022","Fri Feb 18 08:12:25 GMT 2022","4","test  suite3","","","","","Delete booking - valid",""
"skipped","Fri Feb 18 08:12:24 GMT 2022","Fri Feb 18 08:12:24 GMT 2022","0","test  suite5","","","","","Get booking ID by existent firstname and lastname",""
"skipped","Fri Feb 18 08:12:25 GMT 2022","Fri Feb 18 08:12:25 GMT 2022","1","test  suite6","","","","","Update booking - non-existent",""
"skipped","Fri Feb 18 08:12:24 GMT 2022","Fri Feb 18 08:12:24 GMT 2022","0","test  suite5","","","","","Partial update booking - additional needs",""
"passed","Fri Feb 18 08:12:24 GMT 2022","Fri Feb 18 08:12:24 GMT 2022","46","test  suite4","","","","","(ProdTest) Get specific valid ID without Accept header",""
"passed","Fri Feb 18 08:12:24 GMT 2022","Fri Feb 18 08:12:24 GMT 2022","46","test  suite2","","","","","(ProdTest):Create token - invalid username",""
"skipped","Fri Feb 18 08:12:24 GMT 2022","Fri Feb 18 08:12:24 GMT 2022","1","test  suite5","","","","","Partial update booking - checkin & checkout date",""
"passed","Fri Feb 18 08:12:24 GMT 2022","Fri Feb 18 08:12:25 GMT 2022","68","test  suite4","","","","","(ProdTest) Get specific invalid ID",""
"passed","Fri Feb 18 08:12:24 GMT 2022","Fri Feb 18 08:12:24 GMT 2022","96","test  suite2","","","","","(ProdTest):Create token - valid",""
"skipped","Fri Feb 18 08:12:24 GMT 2022","Fri Feb 18 08:12:24 GMT 2022","7","test  suite5","","","","","Partial update booking - firstname & lastname",""
"skipped","Fri Feb 18 08:12:24 GMT 2022","Fri Feb 18 08:12:24 GMT 2022","4","test  suite5","","","","","Get all IDs",""
"skipped","Fri Feb 18 08:12:24 GMT 2022","Fri Feb 18 08:12:24 GMT 2022","1","test  suite2","","","","","Create token - invalid password",""
"skipped","Fri Feb 18 08:12:24 GMT 2022","Fri Feb 18 08:12:24 GMT 2022","8","test  suite5","","","","","Partial update booking - non-existent booking",""
